year,eventId,gender,participants
2010,222,NULL,5
2010,222,f,225
2010,222,m,3028
2010,222,o,7
2011,222,NULL,15
2011,222,f,294
2011,222,m,3904
2011,222,o,11
2012,222,NULL,9
2012,222,f,348
2012,222,m,4333
2012,222,o,12
2013,222,NULL,4
2013,222,f,393
2013,222,m,5595
2013,222,o,12
2014,222,NULL,10
2014,222,f,558
2014,222,m,8342
2014,222,o,24
2015,222,NULL,6
2015,222,f,708
2015,222,m,11166
2015,222,o,31
2016,222,NULL,6
2016,222,f,1076
2016,222,m,16351
2016,222,o,43
2017,222,NULL,11
2017,222,f,1558
2017,222,m,21997
2017,222,o,65
2018,222,NULL,7
2018,222,f,2102
2018,222,m,26417
2018,222,o,95
2019,222,NULL,3
2019,222,f,2656
2019,222,m,29415
2019,222,o,101
2020,222,NULL,1
2020,222,f,565
2020,222,m,7646
2020,222,o,43
2021,222,f,494
2021,222,m,5698
2021,222,o,42
2022,222,f,1967
2022,222,m,24005
2022,222,o,153
2023,222,f,3136
2023,222,m,37443
2023,222,o,225
2024,222,f,3649
2024,222,m,40016
2024,222,o,236
2025,222,f,2929
2025,222,m,30628
2025,222,o,170
2010,333,NULL,38
2010,333,f,582
2010,333,m,5371
2010,333,o,7
2011,333,NULL,45
2011,333,f,662
2011,333,m,6281
2011,333,o,9
2012,333,NULL,28
2012,333,f,714
2012,333,m,6791
2012,333,o,13
2013,333,NULL,7
2013,333,f,958
2013,333,m,8966
2013,333,o,15
2014,333,NULL,33
2014,333,f,1312
2014,333,m,12686
2014,333,o,28
2015,333,NULL,9
2015,333,f,1494
2015,333,m,17046
2015,333,o,33
2016,333,NULL,14
2016,333,f,2266
2016,333,m,23992
2016,333,o,51
2017,333,NULL,15
2017,333,f,3002
2017,333,m,32077
2017,333,o,87
2018,333,NULL,11
2018,333,f,3911
2018,333,m,37559
2018,333,o,115
2019,333,NULL,5
2019,333,f,4588
2019,333,m,41476
2019,333,o,126
2020,333,NULL,1
2020,333,f,957
2020,333,m,11149
2020,333,o,57
2021,333,f,890
2021,333,m,8185
2021,333,o,51
2022,333,f,3042
2022,333,m,33380
2022,333,o,218
2023,333,f,5039
2023,333,m,53577
2023,333,o,307
2024,333,f,5764
2024,333,m,55297
2024,333,o,312
2025,333,f,4521
2025,333,m,42216
2025,333,o,215
2010,444,NULL,3
2010,444,f,103
2010,444,m,2104
2010,444,o,6
2011,444,NULL,3
2011,444,f,119
2011,444,m,2749
2011,444,o,8
2012,444,NULL,4
2012,444,f,150
2012,444,m,3159
2012,444,o,10
2013,444,NULL,3
2013,444,f,159
2013,444,m,3886
2013,444,o,9
2014,444,NULL,4
2014,444,f,225
2014,444,m,4989
2014,444,o,13
2015,444,NULL,3
2015,444,f,271
2015,444,m,6277
2015,444,o,18
2016,444,NULL,4
2016,444,f,363
2016,444,m,8279
2016,444,o,33
2017,444,NULL,6
2017,444,f,541
2017,444,m,11602
2017,444,o,40
2018,444,NULL,6
2018,444,f,689
2018,444,m,14167
2018,444,o,61
2019,444,NULL,1
2019,444,f,845
2019,444,m,15896
2019,444,o,82
2020,444,NULL,1
2020,444,f,311
2020,444,m,4962
2020,444,o,38
2021,444,f,256
2021,444,m,3777
2021,444,o,34
2022,444,f,879
2022,444,m,13226
2022,444,o,106
2023,444,f,1279
2023,444,m,19343
2023,444,o,161
2024,444,f,1472
2024,444,m,21224
2024,444,o,155
2025,444,f,1237
2025,444,m,17237
2025,444,o,127
2010,555,f,50
2010,555,m,1278
2010,555,o,6
2011,555,f,40
2011,555,m,1629
2011,555,o,8
2012,555,NULL,2
2012,555,f,68
2012,555,m,2024
2012,555,o,9
2013,555,NULL,2
2013,555,f,80
2013,555,m,2396
2013,555,o,9
2014,555,NULL,1
2014,555,f,90
2014,555,m,2513
2014,555,o,8
2015,555,NULL,2
2015,555,f,123
2015,555,m,3206
2015,555,o,13
2016,555,NULL,1
2016,555,f,158
2016,555,m,4339
2016,555,o,23
2017,555,NULL,4
2017,555,f,252
2017,555,m,5807
2017,555,o,27
2018,555,NULL,1
2018,555,f,340
2018,555,m,7220
2018,555,o,43
2019,555,NULL,1
2019,555,f,412
2019,555,m,8177
2019,555,o,55
2020,555,NULL,1
2020,555,f,185
2020,555,m,2774
2020,555,o,27
2021,555,f,128
2021,555,m,2043
2021,555,o,25
2022,555,f,430
2022,555,m,6956
2022,555,o,75
2023,555,f,665
2023,555,m,10231
2023,555,o,118
2024,555,f,767
2024,555,m,11328
2024,555,o,121
2025,555,f,710
2025,555,m,9965
2025,555,o,107
